marca,id,precioMax,precioMin,nombre,presentacion,cantSucursalesDisponible
TARAGUI,7790387013627,500.5,329.7,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,25
LA MERCED,7790387015607,750.5,588.0,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,21
TARAGUÍ,7790387013504,452.0,422.0,Yerba 4 Flex Sin Palo Taragui 500 Gr,500.0 gr,16
PLAYADITO,7793704000911,398.75,398.7,Yerba Mate Suave con Palo Playadito 500 Gr,500.0 gr,16
SUAVE UNION,7790387014624,362.0,338.32,Yerba Mate con Palo 4Flex Suave Union 500 Gr,500.0 gr,15
TARAGUÍ,7790387800050,126.5,118.24,Yerba Mate en Saquitos Taragui 25 Un,25.0 un,14
TARAGUÍ,7790387013498,826.7,772.59,Yerba Mate Sin Palo 4Flex Taragui 1 Kg,1.0 kg,13
MAÑANITA,7790387015317,905.0,770.0,Yerba 4 Flex Mañanita 1 Kg,1.0 kg,13
AMANDA,7792710006412,613.3,573.21,Yerba Mate con Palo Edicion 1950 Amanda 1 Kg,1.0 kg,12
MAÑANITA,7790387015324,452.0,452.0,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,12
MOLINOS RIO DE LA PLATA SA,7790070509109,285.8,267.06,Yerba Nobleza Gaucha Suave X 500 Gr - Nv,None none,12
CARREFOUR,7791720026335,162.0,162.0,Yerba Mate con Palo Sin TACC Carrefour 250 Gr,250.0 gr,12
MOLINOS RIO DE LA PLATA SA,7790070509123,240.36,240.36,Yerba Chamigo X 500 Gr Sin Tacc - Nvo,None none,12
CARREFOUR,7791720024775,509.0,509.0,Yerba Mate con Palo sin TACC Carrefour 1 Kg,1.0 kg,12
CARREFOUR,7791720024768,249.0,249.0,Yerba Mate con Palo sin TACC Carrefour 500 Gr,500.0 gr,12
AMANDA,7792710006429,304.22,304.22,Yerba Mate con Palo Edicion 1950 Amanda 500 Gr,500.0 gr,12
UNIÓN,7790387014143,439.0,439.0,Yerba Bajo Contenido en Polvo Suave Union 500 Gr,500.0 gr,12
UNIÓN,7790387014617,718.46,718.46,Yerba Suave Union 1 Kg,1.0 kg,11
ROMANCE,7790802000164,804.0,804.0,Yerba Mate Suave Romance 1 Kg,1.0 kg,10
CBSÉ,7790710334535,454.0,454.0,Yerba Hierbas Serranas Cbse 500 Gr,500.0 gr,9
AMANDA,7792710000182,379.0,379.0,Yerba Mate sin TACC Amanda 500 Gr,500.0 gr,9
TARAGUI,7790387013610,737.45,737.45,Yerba Mate con Palo 4Flex Taragui 1 Kg,1.0 kg,9
AMANDA,7792710000090,467.0,467.0,Yerba Mate Seleccion Especial Amanda 500 Gr,500.0 gr,9
UNIÓN,7790387014631,240.5,240.5,Yerba Mate Suave 4 Flex Union 250 Gr,250.0 gr,9
CACHAMAI,7792280005686,473.0,473.0,Yerba Mate Cachamai 500 Gr,500.0 gr,9
CRUZ DE MALTA,7790070507389,472.0,472.0,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,9
CARREFOUR,7791720024799,469.0,469.0,Yerba Mate Selection sin TACC Caja Carrefour 500 Gr,500.0 gr,9
CARREFOUR,7791720024782,322.0,322.0,Yerba Mate con Palo Sabor Menta sin TACC Carrefour 500 Gr,500.0 gr,9
TARAGUÍ,7790387800067,310.0,310.0,Yerba Mate en Saquitos Taragui 50 Un,50.0 un,9
CARREFOUR,7791720024751,322.0,322.0,Yerba Mate con Palo Sabor Naranja sin TACC Carrefour 500 Gr,500.0 gr,9
CBSÉ,7790710334641,454.0,454.0,Yerba Silueta Naranja Dr Cormillot Cbse 500 Gr,500.0 gr,9
CACHAMATE,7792280005709,559.0,559.0,Yerba Mate con Hierbas Compuesta Cachamate 1 Kg,1.0 kg,8
LA MERCED,7790387015638,652.0,588.0,Yerba Mate La Merced 500 Gr,500.0 gr,8
TARAGUÍ,7790387013634,240.5,240.5,Yerba Mate con Palo 4 Flex Taragui 250 Gr,250.0 gr,6
CANARIAS,7730241003661,1023.5,1023.5,Yerba Mate Canarias 500 Gr,500.0 gr,5
CACHAMATE,7792280000285,358.0,354.0,Yerba Mate Saborizada con Naranja Suave Cachamate 500 Gr,500.0 gr,4
PLAYADITO,7793704000928,789.72,789.72,Yerba Suave Playadito 1 Kg,1.0 kg,4
MOLINOS RIO DE LA PLATA SA,7790070509017,533.5,533.5,Yerba Chamigo X 1 Kg Sin Tacc - Nvo,None none,4
MOLINOS RIO DE LA PLATA SA,7790070509116,542.9,542.9,Yerba Nobleza Gaucha Suave X 1 Kg Sin Ta,None none,4
ROSAMONTE,7790411001378,415.0,415.0,Yerba Mate Elaborada con Palo Rosamonte Premium 500 Gr,500.0 gr,3
ROSAMONTE,7790411000500,305.3,305.3,Yerba Mate Molida Suave Rosamonte 500 Gr,500.0 gr,3
ROSAMONTE,7790411000012,712.0,712.0,Yerba Mate Seleccion Especial Rosamonte 1 Kg,1.0 kg,3
Sin marca,7790070509055,883.0,883.0,Yerba Cruz Malta Eco 1pqx1k,None none,3
LA MERCED,7790387015621,588.0,588.0,Yerba Mate Barbacua La Merced 500 Gr,500.0 gr,2
LA MERCED,7790387015645,588.0,588.0,Yerba Mate Campo Sur La Merced 500 Gr,500.0 gr,2
LA MERCED,7790387015614,588.0,588.0,Yerba Mate De Monte con Palo La Merced 500 Gr,500.0 gr,2
YTACUA,7790387120349,582.4,582.4,Yerba Mate con Palo Ytacua 1 Kg,1.0 kg,1
SALUS,7790070508522,453.0,453.0,Yerba Mate Cp Natural Salus 500 Gr,500.0 gr,1
TARAGUI,7790387013627,500.5,329.7,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,25
LA MERCED,7790387015607,750.5,588.0,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,21
TARAGUÍ,7790387013504,452.0,422.0,Yerba 4 Flex Sin Palo Taragui 500 Gr,500.0 gr,16
PLAYADITO,7793704000911,398.75,398.7,Yerba Mate Suave con Palo Playadito 500 Gr,500.0 gr,16
SUAVE UNION,7790387014624,362.0,338.32,Yerba Mate con Palo 4Flex Suave Union 500 Gr,500.0 gr,15
TARAGUÍ,7790387800050,126.5,118.24,Yerba Mate en Saquitos Taragui 25 Un,25.0 un,14
TARAGUÍ,7790387013498,826.7,772.59,Yerba Mate Sin Palo 4Flex Taragui 1 Kg,1.0 kg,13
MAÑANITA,7790387015317,905.0,770.0,Yerba 4 Flex Mañanita 1 Kg,1.0 kg,13
AMANDA,7792710006412,613.3,573.21,Yerba Mate con Palo Edicion 1950 Amanda 1 Kg,1.0 kg,12
MAÑANITA,7790387015324,452.0,452.0,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,12
MOLINOS RIO DE LA PLATA SA,7790070509109,285.8,267.06,Yerba Nobleza Gaucha Suave X 500 Gr - Nv,None none,12
CARREFOUR,7791720026335,162.0,162.0,Yerba Mate con Palo Sin TACC Carrefour 250 Gr,250.0 gr,12
MOLINOS RIO DE LA PLATA SA,7790070509123,240.36,240.36,Yerba Chamigo X 500 Gr Sin Tacc - Nvo,None none,12
CARREFOUR,7791720024775,509.0,509.0,Yerba Mate con Palo sin TACC Carrefour 1 Kg,1.0 kg,12
CARREFOUR,7791720024768,249.0,249.0,Yerba Mate con Palo sin TACC Carrefour 500 Gr,500.0 gr,12
AMANDA,7792710006429,304.22,304.22,Yerba Mate con Palo Edicion 1950 Amanda 500 Gr,500.0 gr,12
UNIÓN,7790387014143,439.0,439.0,Yerba Bajo Contenido en Polvo Suave Union 500 Gr,500.0 gr,12
UNIÓN,7790387014617,718.46,718.46,Yerba Suave Union 1 Kg,1.0 kg,11
ROMANCE,7790802000164,804.0,804.0,Yerba Mate Suave Romance 1 Kg,1.0 kg,10
CBSÉ,7790710334535,454.0,454.0,Yerba Hierbas Serranas Cbse 500 Gr,500.0 gr,9
AMANDA,7792710000182,379.0,379.0,Yerba Mate sin TACC Amanda 500 Gr,500.0 gr,9
TARAGUI,7790387013610,737.45,737.45,Yerba Mate con Palo 4Flex Taragui 1 Kg,1.0 kg,9
AMANDA,7792710000090,467.0,467.0,Yerba Mate Seleccion Especial Amanda 500 Gr,500.0 gr,9
UNIÓN,7790387014631,240.5,240.5,Yerba Mate Suave 4 Flex Union 250 Gr,250.0 gr,9
CACHAMAI,7792280005686,473.0,473.0,Yerba Mate Cachamai 500 Gr,500.0 gr,9
CRUZ DE MALTA,7790070507389,472.0,472.0,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,9
CARREFOUR,7791720024799,469.0,469.0,Yerba Mate Selection sin TACC Caja Carrefour 500 Gr,500.0 gr,9
CARREFOUR,7791720024782,322.0,322.0,Yerba Mate con Palo Sabor Menta sin TACC Carrefour 500 Gr,500.0 gr,9
TARAGUÍ,7790387800067,310.0,310.0,Yerba Mate en Saquitos Taragui 50 Un,50.0 un,9
CARREFOUR,7791720024751,322.0,322.0,Yerba Mate con Palo Sabor Naranja sin TACC Carrefour 500 Gr,500.0 gr,9
